Puesto;2024T4;2024T3;2024T2;2024T1;2023T4;2023T3;2023T2;2023T1;2022T4;2022T3;2022T2;2022T1;2021T4;2021T3;2021T2;2021T1;2020T4;2020T3;2020T2;2020T1;2019T4;2019T3;2019T2;2019T1;2018T4;2018T3;2018T2;2018T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1
        Total;12.939,50;13.014,00;12.895,10;12.801,70;12.777,00;12.873,90;12.730,70;12.557,50;12.574,70;12.660,90;12.522,70;12.417,20;12.410,90;12.520,80;12.354,10;12.185,20;12.198,20;12.211,60;11.800,50;12.225,40;12.314,70;12.325,00;12.284,30;12.169,60;12.227,20;12.272,00;12.202,20;12.124,80;12.159,80;12.231,20;12.158,30;12.139,10;12.166,90;12.242,10;12.220,70;12.225,30;12.250,90;12.355,30;12.349,90;12.322,40;12.382,00;12.399,30;12.373,20;12.282,10;12.415,60;12.545,60;12.527,60;12.596,60;12.647,70;12.782,40;12.787,60;12.740,60;12.838,00;12.900,20;12.853,60;12.841,70
        1 Directores y gerentes;593,1;565,8;575,6;560,8;572,2;581,9;572,1;581,8;580,7;601,7;604,3;578,9;589,8;578,5;556,1;523,5;517;518,9;503,3;498,9;521,6;530,8;538,1;538,2;556,3;558,6;550,2;535,8;530,7;553,7;554,9;545,5;531,6;524,4;519,4;535,7;541;536,5;545,7;540,9;549,7;552,4;557,4;557,4;558,1;566,6;579,2;581,6;593,7;618,2;631,1;627,9;658;640,8;664,5;660,2
        A Directores y gerentes;593,1;565,8;575,6;560,8;572,2;581,9;572,1;581,8;580,7;601,7;604,3;578,9;589,8;578,5;556,1;523,5;517;518,9;503,3;498,9;521,6;530,8;538,1;538,2;556,3;558,6;550,2;535,8;530,7;553,7;554,9;545,5;531,6;524,4;519,4;535,7;541;536,5;545,7;540,9;549,7;552,4;557,4;557,4;558,1;566,6;579,2;581,6;593,7;618,2;631,1;627,9;658;640,8;664,5;660,2
"        11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos";42,4;35,3;42,8;36,9;38,1;31,5;27,3;33,3;33,2;32,7;34;31,4;28,2;34,3;33,5;26,8;26,4;29;30,5;33,2;32,3;28,7;32,5;32,7;40,5;33,5;31,1;36,3;40,4;37,8;32,4;36,4;35,9;32,6;27;28,5;29,9;27,8;25,7;28,3;28,5;29,9;28,4;29,5;29,8;31,1;33,2;29,1;31,4;33,5;38,9;42,6;56,3;59,9;61,1;68,8
        12 Directores de departamentos administrativos y comerciales;148,1;126,5;135;141,2;151,9;154,4;153,3;160,6;156,8;160,2;151,7;150;141,4;145,9;143,2;136,1;120;116,9;109,6;112,9;119,5;119,9;126,6;119,3;117,1;120,1;116,1;116,6;118,5;136,9;142,3;140,1;129,8;120,2;120,4;113,2;106,3;106,1;121,7;124,3;132;143,4;142,6;140,9;134,9;132;128,7;132,8;141,6;147,5;152,2;152,1;156,3;148,9;143,1;156,3
        13 Directores de producción y operaciones;193;185,5;188,9;181,1;173,4;175,6;179,7;184,2;183,5;190,6;200,2;185,3;189;172,8;170;171;166,3;164,6;165,1;154,9;162,9;176;171,7;181,8;186,8;188,5;188,1;182,4;178,6;175;173,3;165,4;164,5;167,4;169,3;180,7;191,6;196,1;203;194;195,4;190,6;197,1;193,7;199;198,5;211,2;213;213,9;225,5;232,3;222,3;232,3;221,1;226,6;220,1
        14 Directores y gerentes de empresas de alojamiento, restauración y comercio;124,7;125,3;124,5;117,5;125,7;127,7;120,7;116,1;117,5;131,2;130,6;131,7;140,7;145,2;132,6;118,9;135,1;134,3;122,6;116,5;123,8;128,4;131,8;132,6;140,2;139,8;137,1;127,5;126,1;133,4;134,4;134,5;128,8;133;130,8;135,8;137,1;138,6;127,2;127,1;128,1;126,7;130,1;133,5;131,8;132,1;127,7;125,3;123,1;135,3;138,9;146,5;144,1;157,1;176,1;160
        15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;84,8;93,1;84,5;84,2;83,2;92,7;91,2;87,6;89,8;87;87,8;80,5;90,5;80,2;76,8;70,7;69,3;74,1;75,5;81,5;83,1;77,8;75,5;71,7;71,8;76,6;77,7;72,9;67,1;70,6;72,5;69,1;72,7;71,3;71,9;77,5;76,2;68;68,1;67,2;65,7;61,8;59,3;59,8;62,5;73;78,4;81,4;83,7;76,4;68,9;64,4;68,9;53,7;57,4;55
        2 Técnicos y profesionales científicos e intelectuales;1.940,20;1.903,40;1.927,50;1.903,50;1.872,60;1.791,00;1.810,50;1.728,20;1.687,50;1.725,20;1.699,40;1.676,20;1.695,50;1.635,30;1.684,50;1.665,50;1.666,40;1.660,80;1.655,80;1.680,00;1.649,00;1.649,90;1.667,00;1.648,70;1.626,90;1.600,20;1.564,90;1.544,10;1.512,70;1.538,80;1.533,60;1.502,50;1.495,50;1.510,20;1.491,30;1.463,00;1.440,00;1.416,70;1.424,80;1.388,00;1.431,00;1.412,00;1.418,50;1.425,50;1.417,70;1.429,20;1.414,20;1.422,70;1.438,50;1.414,20;1.425,60;1.413,30;1.438,20;1.397,00;1.415,20;1.447,20
        B Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza;637,9;618,5;652,7;649,3;641,9;606,5;640,3;617,1;610,4;605,2;597,6;588,5;596;581,4;613,7;600;608,9;610,3;609,3;611;605;595,5;598,5;591;582,8;546,7;537,7;541,6;524,7;523;530,4;539,6;526,8;541;552;544,3;529,4;507,2;508,6;493,5;503,3;494,4;520,9;512;499;505,6;504,6;518,1;523,2;525,8;539,8;532,9;545,1;534,7;533,4;550,5
