Puesto;2024T4;2024T3;2024T2;2024T1;2023T4;2023T3;2023T2;2023T1;2022T4;2022T3;2022T2;2022T1;2021T4;2021T3;2021T2;2021T1;2020T4;2020T3;2020T2;2020T1;2019T4;2019T3;2019T2;2019T1;2018T4;2018T3;2018T2;2018T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1
        Total;11.513,90;11.563,10;11.544,90;11.426,20;11.473,50;11.467,00;11.336,00;11.263,00;11.147,60;11.110,40;11.079,10;10.994,10;11.012,70;11.049,80;10.948,40;10.757,80;10.865,90;10.688,20;10.174,70;10.768,80;10.844,10;10.763,70;10.751,20;10.655,80;10.641,60;10.582,00;10.631,90;10.545,50;10.605,20;10.549,80;10.569,40;10.554,20;10.578,90;10.606,20;10.654,90;10.595,70;10.622,80;10.544,20;10.665,70;10.577,00;10.644,90;10.532,40;10.602,70;10.601,80;10.655,20;10.627,80;10.680,30;10.711,80;10.712,70;10.709,60;10.701,90;10.692,40;10.602,30;10.582,20;10.612,60;10.505,70
        1 Directores y gerentes;321,6;305,2;297,3;288;303;312,8;312;302,3;307,5;328,4;311,1;308,6;274,4;285,6;276,4;271,1;270,2;284,9;270,7;272,2;264;265,5;262,2;264,4;264,3;265,2;262;256;242,4;243,4;248,8;226,6;239,5;238,1;241;240,8;242,9;258,2;250;248,1;246;246,7;241,7;254,2;247,4;251,2;244,6;268,2;274;263,6;269,7;265,6;286,2;288,5;291,2;270,5
        A Directores y gerentes;321,6;305,2;297,3;288;303;312,8;312;302,3;307,5;328,4;311,1;308,6;274,4;285,6;276,4;271,1;270,2;284,9;270,7;272,2;264;265,5;262,2;264,4;264,3;265,2;262;256;242,4;243,4;248,8;226,6;239,5;238,1;241;240,8;242,9;258,2;250;248,1;246;246,7;241,7;254,2;247,4;251,2;244,6;268,2;274;263,6;269,7;265,6;286,2;288,5;291,2;270,5
"        11 Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos";17,5;16,8;16,8;16,9;17,1;19;17,9;19;20,7;20,2;17,8;20,5;20,4;17,6;16,8;18,2;18,1;17;18,6;21,8;18,1;18;17;17,5;16,4;16,6;13,5;14,6;12,9;12,6;11,8;13,7;16,1;12;11,2;11,8;13,6;15,8;13,4;13,1;12,9;12,8;9,9;10,8;10;10,7;11,3;10,9;12,2;13,4;16,3;17,8;21,6;23,6;27,9;26
        12 Directores de departamentos administrativos y comerciales;109,9;104,7;100;100,2;105,1;113,8;112,6;115,7;113,5;118,6;111,2;92,7;83,4;94,7;89,6;88,5;88,6;88,3;82,3;80,3;75,8;71,7;68,3;68,9;68,8;69,8;73;75,9;71;67,6;72,1;62,2;65,6;65,6;60,1;63,3;66,1;70,7;68,3;67,7;66,4;67,3;68,2;64,4;61,9;62,3;60,7;78,7;78,6;78,3;76,5;77,1;82,7;81,9;75,1;74,5
        13 Directores de producción y operaciones;81,9;76,9;79;66,1;74,6;71,2;69;72,9;80,9;92,2;87,5;81,8;75,4;70;74,6;70,8;71,4;72,2;74,3;75,3;72,2;78,1;79,5;76;69,3;70,5;72,9;75,1;73,5;77,2;75,4;64,6;60,8;63,9;67,6;64,2;60,7;68,5;71,9;70,8;72;68,2;70,4;79,4;73,6;76,5;74,3;79,7;77,8;69,7;74,4;73,7;71,8;71;70,8;65,8
        14 Directores y gerentes de empresas de alojamiento, restauración y comercio;60,5;61,5;59,1;62;61,6;67,5;67,1;55;53,4;61,2;56,5;63,4;53,5;60,6;55,4;53,7;52,7;58,1;56,9;58,3;53,8;55,8;59,7;63,9;71,3;68,3;63,9;53,1;53,3;53,1;50,2;50;55,1;59,4;65,4;63,5;69,2;70,3;67,9;64,7;61;65;60;63,9;66;63,5;59,4;59,7;55,3;61,6;64,8;61,6;68,1;72,9;83,6;77,3
        15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;51,7;45,2;42,4;42,8;44,7;41,3;45,3;39,7;39,1;36,2;38;50,1;41,8;42,8;39,9;39,9;39,4;49,3;38,8;36,6;44,2;41,9;37,7;38,1;38,4;40;38,7;37,3;31,7;32,9;39,5;36,1;41,9;37,2;36,7;38,1;33,4;32,9;28,6;31,8;33,7;33,3;33,1;35,7;36;38,3;38,8;39,2;50,2;40,4;37,8;35,4;42;39,3;33,8;26,8
        2 Técnicos y profesionales científicos e intelectuales;2.568,90;2.511,20;2.538,60;2.507,60;2.512,10;2.421,10;2.448,30;2.382,30;2.323,80;2.350,60;2.368,30;2.322,70;2.354,80;2.292,90;2.251,90;2.216,10;2.205,90;2.172,60;2.168,90;2.198,60;2.205,90;2.109,30;2.106,40;2.096,10;2.074,30;1.977,90;1.955,60;1.934,60;1.977,80;1.941,40;1.937,80;1.931,80;1.937,60;1.888,30;1.922,90;1.903,60;1.885,60;1.818,00;1.802,10;1.776,70;1.788,20;1.717,50;1.749,00;1.741,30;1.776,10;1.765,00;1.805,50;1.777,20;1.773,50;1.747,00;1.775,60;1.749,20;1.709,60;1.705,40;1.728,50;1.725,60
        B Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza;1.476,70;1.451,50;1.479,50;1.443,80;1.446,20;1.390,90;1.436,30;1.440,40;1.402,10;1.436,10;1.453,80;1.411,90;1.445,60;1.395,50;1.383,70;1.347,30;1.349,70;1.310,20;1.317,70;1.341,80;1.347,90;1.284,50;1.306,10;1.312,70;1.306,40;1.236,20;1.246,00;1.217,10;1.219,60;1.197,00;1.210,60;1.192,10;1.187,30;1.167,00;1.208,90;1.190,00;1.174,10;1.111,00;1.123,10;1.111,30;1.114,40;1.080,40;1.120,80;1.113,70;1.131,00;1.105,90;1.144,10;1.128,60;1.134,60;1.107,80;1.137,90;1.121,30;1.102,70;1.077,70;1.100,00;1.096,00
